Average of price,Column Labels,,,,,,
Row Labels,Business,Economy,Grand Total,,,,
Air_India,47131,7314,23507,,,,
AirAsia,,4091,4091,,,,
GO_FIRST,,5652,5652,,,,
Indigo,,5324,5324,,,,
SpiceJet,,6179,6179,,,,
Vistara,55477,7807,30397,,,,
Grand Total,52540,6572,20890,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Average of price,Column Labels,,,,,,
Row Labels,1,2,Grand Total,,,,
Air_India,22996,33291,30408,,,,
AirAsia,10868,9375,9956,,,,
GO_FIRST,11513,12028,11842,,,,
Indigo,13816,12167,12833,,,,
SpiceJet,13137,11362,11911,,,,
Vistara,28188,39809,36123,,,,
Grand Total,21592,30211,27421,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Sum of price,Column Labels,,,,,,
Row Labels,Afternoon,Early_Morning,Evening,Late_Night,Morning,Night,Grand Total
Air_India,258730987,463816178,435219750,7705433,386414644,349642798,1901529790
AirAsia,13367014,16713695,14842902,598187,9703267,10633024,65858089
GO_FIRST,27093432,34537323,27482274,701757,26758099,14401087,130973972
Indigo,57541936,42586266,40723774,3134284,67847285,17746662,229580207
SpiceJet,9210409,15859475,11618529,,10472065,8521004,55681482
Vistara,502913066,787044561,852381995,,1037746709,706384404,3886470735
Grand Total,868856844,1360557498,1382269224,12139661,1538942069,1107328979,6270094275
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Row Labels,Sum of price,,,,,,
Business,4911814564,,,,,,
Economy,1358279711,,,,,,
Grand Total,6270094275,,,,,,
