Average of price,Column Labels,,,,,,
Row Labels,Business,Economy,Grand Total,,,,
Bangalore," 53,833 "," 6,618 "," 21,594 ",,,,
Chennai," 53,617 "," 6,642 "," 21,953 ",,,,
Delhi," 48,088 "," 6,251 "," 18,437 ",,,,
Hyderabad," 50,429 "," 6,306 "," 20,428 ",,,,
Kolkata," 56,738 "," 7,201 "," 21,960 ",,,,
Mumbai," 52,866 "," 6,460 "," 21,373 ",,,,
Grand Total," 52,540 "," 6,572 "," 20,890 ",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Average of price,Column Labels,,,,,,
Row Labels,Bangalore,Chennai,Delhi,Hyderabad,Kolkata,Mumbai,Grand Total
GO_FIRST," 5,718 "," 5,347 "," 5,780 "," 4,880 "," 6,113 "," 5,597 "," 5,652 "
SpiceJet," 6,123 "," 5,649 "," 6,114 "," 5,924 "," 6,629 "," 6,193 "," 6,179 "
Grand Total," 5,798 "," 5,480 "," 5,885 "," 5,015 "," 6,294 "," 5,744 "," 5,800 "
